#Chengdu DateTime;(deg C) Max Temperature (MERRA2) at 30.6406N,-104.0695W, 2008-01-01 to 2019-12-31
2008-01-01;5.2695
2008-01-02;5.3744
2008-01-03;7.2896
2008-01-04;7.8157
2008-01-05;9.2054
2008-01-06;11.1063
2008-01-07;9.7073
2008-01-08;13.1069
2008-01-09;10.2195
2008-01-10;11.8106
2008-01-11;11.3484
2008-01-12;5.774
2008-01-13;3.79
2008-01-14;1.7697
2008-01-15;2.8623
2008-01-16;2.2101
2008-01-17;3.2291
2008-01-18;2.3167
2008-01-19;1.3999
2008-01-20;0.9706
2008-01-21;0.9455
2008-01-22;1.3516
2008-01-23;2.4697
2008-01-24;0.5372
2008-01-25;0.1294
2008-01-26;-0.0368
2008-01-27;-1.0518
2008-01-28;-0.042
2008-01-29;0.3082
2008-01-30;-1.0241
2008-01-31;0.802
2008-02-01;0.8227
2008-02-02;3.8272
2008-02-03;4.5434
2008-02-04;2.3896
2008-02-05;4.2942
2008-02-06;4.2679
2008-02-07;4.2877
2008-02-08;3.0225
2008-02-09;1.7553
2008-02-10;2.0718
2008-02-11;2.7121
2008-02-12;1.9359
2008-02-13;1.7409
2008-02-14;5.9939
2008-02-15;6.6754
2008-02-16;8.135
2008-02-17;6.6459
2008-02-18;4.972
2008-02-19;6.9731
2008-02-20;6.7858
2008-02-21;10.8747
2008-02-22;10.5459
2008-02-23;10.5693
2008-02-24;11.0744
2008-02-25;8.6716
2008-02-26;6.7681
2008-02-27;7.0784
2008-02-28;10.6956
2008-02-29;13.2713
2008-03-01;11.9341
2008-03-02;14.3133
2008-03-03;14.4942
2008-03-04;13.3301
2008-03-05;10.7127
2008-03-06;11.5429
2008-03-07;11.9098
2008-03-08;12.1649
2008-03-09;14.3364
2008-03-10;15.5662
2008-03-11;16.1561
2008-03-12;17.4895
2008-03-13;16.7289
2008-03-14;17.213
2008-03-15;13.538
2008-03-16;15.0398
2008-03-17;17.9069
2008-03-18;19.1415
2008-03-19;16.7528
2008-03-20;18.1004
2008-03-21;14.1051
2008-03-22;17.4774
2008-03-23;15.6952
2008-03-24;15.9251
2008-03-25;18.9893
2008-03-26;20.0121
2008-03-27;18.8998
2008-03-28;18.899
2008-03-29;13.9689
2008-03-30;12.1689
2008-03-31;14.1075
2008-04-01;12.8046
2008-04-02;14.538
2008-04-03;13.16
2008-04-04;16.2479
2008-04-05;20.6937
2008-04-06;22.9328
2008-04-07;23.9112
2008-04-08;25.9995
2008-04-09;25.2791
2008-04-10;21.7697
2008-04-11;19.7163
2008-04-12;18.7254
2008-04-13;17.0582
2008-04-14;15.1694
2008-04-15;17.2692
2008-04-16;21.784
2008-04-17;22.8371
2008-04-18;22.4054
2008-04-19;22.5564
2008-04-20;21.3906
2008-04-21;15.3847
2008-04-22;16.579
2008-04-23;17.1175
2008-04-24;18.2175
2008-04-25;21.85
2008-04-26;17.8958
2008-04-27;23.7596
2008-04-28;22.4843
2008-04-29;22.8082
2008-04-30;26.8102
2008-05-01;25.9233
2008-05-02;24.3936
2008-05-03;23.0665
2008-05-04;22.0469
2008-05-05;22.8411
2008-05-06;25.322
2008-05-07;24.0299
2008-05-08;23.922
2008-05-09;21.7759
2008-05-10;23.1127
2008-05-11;24.7938
2008-05-12;22.0849
2008-05-13;18.4741
2008-05-14;19.2602
2008-05-15;20.387
2008-05-16;25.0814
2008-05-17;24.1829
2008-05-18;26.7516
2008-05-19;25.0207
2008-05-20;24.1783
2008-05-21;22.714
2008-05-22;22.8739
2008-05-23;24.7844
2008-05-24;25.8081
2008-05-25;25.1675
2008-05-26;26.4647
2008-05-27;27.1344
2008-05-28;27.0825
2008-05-29;23.8121
2008-05-30;24.8611
2008-05-31;23.8946
2008-06-01;29.7779
2008-06-02;27.7229
2008-06-03;29.7033
2008-06-04;27.9356
2008-06-05;29.0673
2008-06-06;26.8004
2008-06-07;23.8558
2008-06-08;24.8714
2008-06-09;26.1588
2008-06-10;26.8567
2008-06-11;25.9844
2008-06-12;25.8654
2008-06-13;27.0388
2008-06-14;22.0962
2008-06-15;23.3848
2008-06-16;22.3744
2008-06-17;25.2152
2008-06-18;22.9989
2008-06-19;25.0195
2008-06-20;25.1936
2008-06-21;26.7585
2008-06-22;25.013
2008-06-23;28.7786
2008-06-24;28.6448
2008-06-25;29.9327
2008-06-26;28.7756
2008-06-27;30.0403
2008-06-28;29.462
2008-06-29;28.5987
2008-06-30;26.0759
2008-07-01;28.7412
2008-07-02;28.2631
2008-07-03;25.6762
2008-07-04;25.5996
2008-07-05;31.1799
2008-07-06;31.7243
2008-07-07;30.5685
2008-07-08;29.492
2008-07-09;29.8418
2008-07-10;29.296
2008-07-11;28.376
2008-07-12;28.118
2008-07-13;27.6587
2008-07-14;25.1677
2008-07-15;22.3317
2008-07-16;27.3435
2008-07-17;25.2118
2008-07-18;29.8095
2008-07-19;28.2793
2008-07-20;25.062
2008-07-21;26.794
2008-07-22;28.453
2008-07-23;28.0895
2008-07-24;27.2332
2008-07-25;27.2035
2008-07-26;28.0825
2008-07-27;27.4202
2008-07-28;27.0802
2008-07-29;29.1221
2008-07-30;27.7824
2008-07-31;28.1489
2008-08-01;27.9086
2008-08-02;25.8104
2008-08-03;26.5984
2008-08-04;26.5975
2008-08-05;24.4379
2008-08-06;25.4473
2008-08-07;26.0233
2008-08-08;26.5889
2008-08-09;23.855
2008-08-10;25.3172
2008-08-11;24.6635
2008-08-12;23.5362
2008-08-13;23.7731
2008-08-14;23.0478
2008-08-15;24.9286
2008-08-16;26.5684
2008-08-17;27.0135
2008-08-18;25.9401
2008-08-19;27.1984
2008-08-20;26.6076
2008-08-21;22.5616
2008-08-22;28.0343
2008-08-23;26.0784
2008-08-24;21.5962
2008-08-25;25.7479
2008-08-26;22.4901
2008-08-27;24.33
2008-08-28;22.1834
2008-08-29;22.5591
2008-08-30;23.1547
2008-08-31;24.6999
2008-09-01;23.5684
2008-09-02;21.9973
2008-09-03;23.7952
